모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2024 지프 어벤저,5.0km/kwh,전기,소형,SUV,2WD,5640,http://file.carisyou.com/upload/2024/07/24/FILE_202407241025030410.png,
2025 렉서스 LM(2세대),10.1km/ℓ,가솔린/하이브리드,대형,RV,4WD,14657,http://file.carisyou.com/upload/2024/07/23/FILE_202407230205049660.png,275.0
2025 포르쉐 마칸 일렉트릭,4.0 ~ 4.3km/kwh,전기,준중형,SUV,2WD,1,http://file.carisyou.com/upload/2024/07/17/FILE_202407170128256560.png,
2025 기아 봉고3 트럭,6.1 ~ 7.0km/ℓ,엘피지,소형,트럭,FR,4150,http://file.carisyou.com/upload/2021/12/28/FILE_202112281242281790.png,138.0
2025 기아 뉴 셀토스,10.8 ~ 12.9km/ℓ,가솔린,소형,SUV,FF,2926,http://file.carisyou.com/upload/2022/08/31/FILE_202208311042297900.png,149.0
2024 벤츠 EQS SUV,3.6 ~ 3.7km/kwh,전기,대형,SUV,4WD,15860,http://file.carisyou.com/upload/2024/03/26/FILE_202403261017567070.png,
2025 폭스바겐 투아렉(3세대),10.8km/ℓ,디젤,중형,SUV,4WD,1,http://file.carisyou.com/upload/2024/07/11/FILE_202407110516440680.png,286.0
2025 알핀 A110(2세대),-,가솔린,소형,쿠페,MR,13000,http://file.carisyou.com/upload/2024/07/09/FILE_202407090419381740.png,300.0
2025 현대 캐스퍼 일렉트릭,5.1 ~ 5.8km/kwh,전기,소형,SUV,2WD,3190,http://file.carisyou.com/upload/2024/07/09/FILE_202407090104299560.png,
2025 마세라티 그란투리스모(2세대),"3.5 ~ 8.4km/kwh,km/ℓ","가솔린,전기",중형,쿠페,4WD,24425,http://file.carisyou.com/upload/2024/07/04/FILE_202407040523534100.png,490.0
2025 마세라티 그란카브리오(2세대),8.1km/ℓ,가솔린,중형,컨버터블,4WD,31225,http://file.carisyou.com/upload/2024/07/04/FILE_202407040523456540.png,550.0
2025 벤츠 GLA(2세대),10.9km/ℓ,가솔린,준중형,SUV,4WD,6910,http://file.carisyou.com/upload/2023/12/28/FILE_202312280958082120.png,224.0
2025 벤츠 CLA(2세대),9.2 ~ 12.0km/ℓ,가솔린,준중형,세단,4WD,9350,http://file.carisyou.com/upload/2023/12/28/FILE_202312281000380360.png,224.0
2024 현대 뉴 카운티,-,디젤,준중형,버스,2WD,9329,http://file.carisyou.com/upload/2021/07/08/FILE_202107080352560620.png,170.0
2025 르노코리아 그랑 콜레오스 하이브리드,15.0 ~ 15.7km/ℓ,가솔린/하이브리드,중형,SUV,FF,4406,http://file.carisyou.com/upload/2024/06/27/FILE_202406270345512430.png,144.0
2025 르노코리아 그랑 콜레오스,9.8 ~ 11.1km/ℓ,가솔린,중형,SUV,FF,4304,http://file.carisyou.com/upload/2024/06/27/FILE_202406270345386230.png,211.0
2024 비야디 T4K,2.6km/kwh,전기,소형,트럭,2WD,6490,http://file.carisyou.com/upload/2023/04/10/FILE_202304100429513810.png,
2025 벤츠 EQB,4.1km/kwh,전기,준중형,SUV,4WD,8360,http://file.carisyou.com/upload/2024/05/23/FILE_202405230155042960.png,
2025 현대 뉴 아반떼 N,10.4 ~ 10.6km/ℓ,가솔린,준중형,세단,FF,3517,http://file.carisyou.com/upload/2023/07/26/FILE_202307260936452240.png,280.0
2025 현대 뉴 아반떼 하이브리드(CN7),18.5 ~ 21.1km/ℓ,가솔린/하이브리드,준중형,세단,FF,3154,http://file.carisyou.com/upload/2023/03/13/FILE_202303131057436250.png,105.0
2025 현대 뉴 아반떼(CN7),10.3 ~ 15.0km/ℓ,"가솔린,엘피지",준중형,세단,FF,2783,http://file.carisyou.com/upload/2023/03/13/FILE_202303130931074190.png,123.0
2025 토요타 크라운,11.0 ~ 17.2km/ℓ,가솔린/하이브리드,준대형,세단,4WD,6845,http://file.carisyou.com/upload/2023/05/23/FILE_202305230342432280.png,186.0
2025 랜드로버 레인지로버 벨라,8.2 ~ 9.1km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,1,http://file.carisyou.com/upload/2024/01/19/FILE_202401190552088170.png,250.0
2024 혼다 어코드(11세대),12.9 ~ 16.7km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FF,5280,http://file.carisyou.com/upload/2023/10/06/FILE_202310060123158570.png,190.0
2024 기아 뉴 모닝(JA),14.7km/ℓ,가솔린,경형,해치백,FF,1820,http://file.carisyou.com/upload/2023/08/17/FILE_202308170339556250.png,76.0
2025 현대 그랜저 하이브리드(GN7),15.7 ~ 18.0km/ℓ,가솔린/하이브리드,준대형,세단,FF,5332,http://file.carisyou.com/upload/2022/11/15/FILE_202211150146388510.png,180.0
2025 현대 그랜저(GN7),7.8 ~ 11.7km/ℓ,"가솔린,엘피지",준대형,세단,FF,5023,http://file.carisyou.com/upload/2022/11/15/FILE_202211150145504180.png,198.0
2024 아우디 SQ8 e-트론,2.6km/kwh,전기,대형,SUV,4WD,15272,http://file.carisyou.com/upload/2024/06/05/FILE_202406050448308390.png,
2024 아우디 Q8 e-트론,2.9 ~ 3.0km/kwh,전기,대형,SUV,4WD,1860,http://file.carisyou.com/upload/2024/06/05/FILE_202406050417457810.png,
2024 미니 미니 컨트리맨(3세대),10.3 ~ 10.8km/ℓ,가솔린,소형,SUV,4WD,6700,http://file.carisyou.com/upload/2024/06/07/FILE_202406070138060760.png,204.0
2025 미니 미니 쿠퍼(4세대),12.0 ~ 12.7km/ℓ,가솔린,소형,해치백,FF,5510,http://file.carisyou.com/upload/2024/07/01/FILE_202407011011327350.png,163.0
2025 BMW M4(2세대),8.0 ~ 8.2km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",4WD,13770,http://file.carisyou.com/upload/2024/06/07/FILE_202406071002508050.png,530.0
2025 BMW Z4(3세대),10.2 ~ 10.7km/ℓ,가솔린,소형,컨버터블,FR,9910,http://file.carisyou.com/upload/2023/03/10/FILE_202303101041326420.png,197.0
2024 기아 EV3,5.1 ~ 5.4km/kwh,전기,소형,SUV,2WD,4850,http://file.carisyou.com/upload/2024/06/04/FILE_202406041058132380.png,
2025 미니 미니 컨트리맨 일렉트릭(3세대),4.4 ~ 4.8km/kwh,전기,소형,SUV,2WD,6610,http://file.carisyou.com/upload/2024/05/27/FILE_202405270349078850.png,
2024 KGM 코란도 EV,4.8km/kwh,전기,준중형,SUV,2WD,4546,http://file.carisyou.com/upload/2024/05/23/FILE_202405230313118760.png,
2024 벤츠 EQB,4.1km/kwh,전기,준중형,SUV,4WD,8200,http://file.carisyou.com/upload/2024/05/23/FILE_202405230155042960.png,
2024 벤츠 EQA,5.0km/kwh,전기,준중형,SUV,2WD,7360,http://file.carisyou.com/upload/2024/08/07/FILE_202408070944141260.png,
2025 쉐보레 뉴 트레일블레이저,11.6 ~ 12.9km/ℓ,가솔린,준중형,SUV,FF,3309,http://file.carisyou.com/upload/2023/07/19/FILE_202307190249475930.png,156.0
2024 랜드로버 디스커버리,7.5 ~ 10.8km/ℓ,"가솔린,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2021/06/23/FILE_202106231025152620.png,300.0
2024 기아 뉴 EV6,3.8 ~ 5.3km/kwh,전기,준중형,SUV,2WD,7220,http://file.carisyou.com/upload/2024/05/14/FILE_202405141020494220.png,
2025 렉서스 NX(2세대),14.0 ~ 14.4km/ℓ,가솔린/하이브리드,준중형,SUV,4WD,8231,http://file.carisyou.com/upload/2023/03/23/FILE_202303230243469280.png,189.0
2024 폭스바겐 제타(7세대),14.1km/ℓ,가솔린,준중형,세단,FF,3810,http://file.carisyou.com/upload/2024/05/16/FILE_202405160901504440.png,160.0
2024 KGM 뉴 토레스,8.9 ~ 11.2km/ℓ,"가솔린,엘피지",중형,SUV,FF,3714,http://file.carisyou.com/upload/2024/05/08/FILE_202405080346476290.png,170.0
2025 제네시스 뉴 GV70,8.5 ~ 10.2km/ℓ,가솔린,중형,SUV,FR,6135,http://file.carisyou.com/upload/2024/05/08/FILE_202405081041472230.png,304.0
2024 캐딜락 XT4,10.3km/ℓ,가솔린,준중형,SUV,4WD,6120,http://file.carisyou.com/upload/2024/05/07/FILE_202405070824324790.png,238.0
2024 벤틀리 플라잉스퍼(3세대),6.6km/ℓ,가솔린,대형,세단,4WD,32920,http://file.carisyou.com/upload/2019/06/13/FILE_201906130957325640.png,550.0
2024 벤틀리 컨티넨탈(3세대),7.4km/ℓ,가솔린,대형,쿠페,4WD,32890,http://file.carisyou.com/upload/2023/05/08/FILE_202305081018402360.png,550.0
2024 현대 ST1,-,전기,소형,트럭,2WD,7195,http://file.carisyou.com/upload/2024/04/24/FILE_202404240106010020.png,
2024 캐딜락 XT6,8.3km/ℓ,가솔린,대형,SUV,4WD,8539,http://file.carisyou.com/upload/2022/11/17/FILE_202211170147066170.png,314.0
2024 디피코 뉴 포트로,-,전기,경형,트럭,2WD,3333,http://file.carisyou.com/upload/2024/04/11/FILE_202404110504080240.png,
2025 미니 미니 쿠퍼 일렉트릭(4세대),5.0 ~ 5.3km/kwh,전기,소형,해치백,2WD,6050,http://file.carisyou.com/upload/2025/03/13/FILE_202503130126494890.png,
2024 벤츠 EQE SUV,3.4 ~ 4.1km/kwh,전기,중형,SUV,4WD,1850,http://file.carisyou.com/upload/2024/03/25/FILE_202403250949121750.png,
2025 르노코리아 뉴 QM6,8.6 ~ 11.6km/ℓ,"가솔린,엘피지",중형,SUV,FF,3720,http://file.carisyou.com/upload/2024/04/05/FILE_202404050353481740.png,140.0
2025 르노코리아 아르카나 하이브리드,17.0 ~ 17.4km/ℓ,가솔린/하이브리드,준중형,SUV,FF,3337,http://file.carisyou.com/upload/2025/04/01/FILE_202504011258243610.png,86.0
2025 르노코리아 아르카나,13.2 ~ 13.6km/ℓ,가솔린,준중형,SUV,FF,2914,http://file.carisyou.com/upload/2024/04/03/FILE_202404030453563110.png,123.0
2024 대창모터스 다니고 EV,3.1 ~ 3.4km/kwh,전기,소형,트럭,2WD,5780,http://file.carisyou.com/upload/2022/08/18/FILE_202208180430270230.png,
2024 테슬라 모델 3,4.8 ~ 5.7km/kwh,전기,준중형,세단,2WD,6939,http://file.carisyou.com/upload/2024/04/03/FILE_202404030359257140.png,
2024 테슬라 모델 Y,5.0 ~ 5.2km/kwh,전기,준중형,SUV,2WD,7199,http://file.carisyou.com/upload/2023/03/08/FILE_202303080922337520.png,
2024 BMW X2(2세대),10.1 ~ 10.8km/ℓ,가솔린,준중형,SUV,4WD,8150,http://file.carisyou.com/upload/2024/04/03/FILE_202404030249153580.png,204.0
2024 기아 뉴 K9(RJ),8.1 ~ 9.0km/ℓ,가솔린,대형,세단,FR,8553,http://file.carisyou.com/upload/2021/06/15/FILE_202106150446361840.png,315.0
2024 캐딜락 에스컬레이드(5세대),6.5 ~ 7.0km/ℓ,가솔린,대형,SUV,4WD,15757,http://file.carisyou.com/upload/2021/06/10/FILE_202106100304380000.png,426.0
2025 렉서스 ES(7세대),16.8 ~ 17.2km/ℓ,가솔린/하이브리드,중형,세단,FF,7410,http://file.carisyou.com/upload/2024/01/18/FILE_202401180100060120.png,178.0
2023 벤츠 EQS SUV,3.5 ~ 3.6km/kwh,전기,대형,SUV,4WD,15500,http://file.carisyou.com/upload/2024/03/26/FILE_202403261017567070.png,
2023 벤츠 EQE SUV,3.8 ~ 3.9km/kwh,전기,중형,SUV,4WD,1990,http://file.carisyou.com/upload/2024/03/25/FILE_202403250949121750.png,
2024 제네시스 G90(RS4),8.2 ~ 9.3km/ℓ,가솔린,대형,"리무진,세단외형전체>",FR,1,http://file.carisyou.com/upload/2021/12/14/FILE_202112140254196890.png,380.0
2024 아우디 A5(2세대),10.7 ~ 15.0km/ℓ,"가솔린,디젤",준중형,"컨버터블,쿠페,해치백외형전체>",4WD,8145,http://file.carisyou.com/upload/2022/05/06/FILE_202205060303206560.png,204.0
2024 포드 레인저(2세대),9.0 ~ 10.1km/ℓ,디젤,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2023/01/16/FILE_202301160202008150.png,205.0
2025 쉐보레 트랙스 크로스오버(9BQC),12.0 ~ 12.7km/ℓ,가솔린,준중형,SUV,FF,2836,http://file.carisyou.com/upload/2023/03/22/FILE_202303220224424070.png,139.0
2024 벤츠 AMG GT,8.8km/ℓ,가솔린,중형,해치백,4WD,15440,http://file.carisyou.com/upload/2022/03/31/FILE_202203310257104250.png,367.0
2024 제네시스 GV60,4.1 ~ 5.1km/kwh,전기,준중형,SUV,2WD,7343,http://file.carisyou.com/upload/2022/12/16/FILE_202212160143594450.png,
2024 캐딜락 리릭,3.9km/kwh,전기,준대형,SUV,4WD,1696,http://file.carisyou.com/upload/2024/03/06/FILE_202403060101449780.png,
2024 현대 코나 일렉트릭(SX2),4.7 ~ 5.5km/kwh,전기,소형,SUV,2WD,5086,http://file.carisyou.com/upload/2023/04/13/FILE_202304130114063590.png,
2024 현대 뉴 아이오닉 5,4.4 ~ 5.2km/kwh,전기,준중형,SUV,2WD,6242,http://file.carisyou.com/upload/2024/03/04/FILE_202403040148482550.png,
2024 현대 스타리아 하이브리드,12.1 ~ 13.0km/ℓ,가솔린/하이브리드,소형,버스,FF,7436,http://file.carisyou.com/upload/2024/02/29/FILE_202402290144481010.png,180.0
2024 현대 스타리아,6.3 ~ 12.3km/ℓ,"디젤,엘피지",소형,버스,FF,7292,http://file.carisyou.com/upload/2021/06/10/FILE_202106100952596670.png,177.0
2024 신위안 이티밴,5.3km/kwh,전기,소형,버스,2WD,3670,http://file.carisyou.com/upload/2023/02/21/FILE_202302210141074630.png,
2025 로터스 엘레트라,3.1 ~ 3.5km/kwh,전기,대형,SUV,4WD,14900,http://file.carisyou.com/upload/2024/02/16/FILE_202402160347398350.png,
2024 로터스 에미라,7.7 ~ 9.5km/ℓ,가솔린,준중형,쿠페,MR,14500,http://file.carisyou.com/upload/2021/11/01/FILE_202111010256102580.png,364.0
2024 벤츠 CLE,9.1 ~ 12.1km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,9940,http://file.carisyou.com/upload/2024/02/16/FILE_202402160955503020.png,204.0
2024 폭스바겐 티구안(2세대),10.1 ~ 15.6km/ℓ,"가솔린,디젤",준중형,SUV,FF,5374,http://file.carisyou.com/upload/2021/08/03/FILE_202108030114475350.png,186.0
2024 벤츠 SL(7세대),6.5 ~ 8.8km/ℓ,가솔린,중형,컨버터블,4WD,23660,http://file.carisyou.com/upload/2023/03/20/FILE_202303200122191330.png,585.0
2024 현대 코나 하이브리드(SX2),18.1 ~ 19.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3580,http://file.carisyou.com/upload/2023/01/18/FILE_202301181038184400.png,105.0
2024 현대 코나(SX2),11.2 ~ 13.6km/ℓ,가솔린,소형,SUV,FF,3373,http://file.carisyou.com/upload/2023/01/19/FILE_202301190921384420.png,149.0
2024 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1280,http://file.carisyou.com/upload/2025/01/13/FILE_202501131125294360.png,252.0
2024 GMC 시에라(5세대),6.6km/ℓ,가솔린,대형,픽업트럭,4WD,9550,http://file.carisyou.com/upload/2023/02/08/FILE_202302081033469850.png,426.0
2024 토요타 시에나(4세대),13.7 ~ 14.5km/ℓ,가솔린/하이브리드,대형,RV,4WD,7000,http://file.carisyou.com/upload/2022/02/08/FILE_202202080453115700.png,189.0
2024 기아 봉고3 EV,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,6198,http://file.carisyou.com/upload/2021/12/24/FILE_202112241114245700.png,
2024 벤츠 마이바흐 GLS(3세대),6.1km/ℓ,가솔린,대형,SUV,4WD,27760,http://file.carisyou.com/upload/2024/01/31/FILE_202401310146182370.png,557.0
2024 현대 포터2 일렉트릭,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,5006,http://file.carisyou.com/upload/2019/12/11/FILE_201912111011447610.png,
2024 토요타 GR86,9.5km/ℓ,가솔린,준중형,쿠페,FR,4708,http://file.carisyou.com/upload/2022/05/16/FILE_202205160937058990.png,231.0
2024 랜드로버 레인지로버 벨라,8.9 ~ 9.1km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,1,http://file.carisyou.com/upload/2024/01/19/FILE_202401190552088170.png,249.0
2024 포드 머스탱(7세대),7.2 ~ 9.6km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,8470,http://file.carisyou.com/upload/2024/02/15/FILE_202402151109151320.png,319.0
2024 랜드로버 디펜더,6.9 ~ 10.2km/ℓ,"가솔린,디젤","대형,준중형",SUV,4WD,1380,http://file.carisyou.com/upload/2024/01/19/FILE_202401190118577460.png,249.0
2024 랜드로버 디스커버리 스포츠,8.2km/ℓ,가솔린,준중형,SUV,4WD,7660,http://file.carisyou.com/upload/2024/01/30/FILE_202401300340302500.png,249.0
2024 토요타 GR 수프라(5세대),10.2km/ℓ,가솔린,준중형,쿠페,FR,7980,http://file.carisyou.com/upload/2019/01/15/FILE_201901151111513480.png,387.0
2024 렉서스 LS(5세대),7.9 ~ 9.6km/ℓ,"가솔린,가솔린/하이브리드",대형,세단,4WD,13750,http://file.carisyou.com/upload/2022/11/17/FILE_202211171011302310.png,422.0
2024 벤츠 E클래스(6세대),10.5 ~ 15.4km/ℓ,"가솔린,디젤",중형,세단,FR,1,http://file.carisyou.com/upload/2024/01/04/FILE_202401040227284180.png,204.0
2024 푸조 5008(2세대),12.1 ~ 16.1km/ℓ,"가솔린,디젤",중형,SUV,FF,5100,http://file.carisyou.com/upload/2024/07/18/FILE_202407181114254920.png,131.0
2024 아우디 SQ7,6.7km/ℓ,가솔린,대형,SUV,4WD,14800,http://file.carisyou.com/upload/2024/01/04/FILE_202401041113016220.png,507.0
2024 푸조 408,12.9km/ℓ,가솔린,준중형,해치백,FF,4690,http://file.carisyou.com/upload/2023/05/23/FILE_202305230102114180.png,131.0
2024 아우디 RS6(8세대),7.1km/ℓ,가솔린,중형,왜건,4WD,17550,http://file.carisyou.com/upload/2023/12/29/FILE_202312290935204760.png,630.0
2024 벤츠 GLA(2세대),10.8km/ℓ,가솔린,준중형,SUV,4WD,6590,http://file.carisyou.com/upload/2023/12/28/FILE_202312280958082120.png,224.0
2024 벤츠 CLA(2세대),11.9km/ℓ,가솔린,준중형,세단,4WD,6070,http://file.carisyou.com/upload/2023/12/28/FILE_202312281000380360.png,224.0
2024 제네시스 뉴 G80(RG3),8.7 ~ 10.6km/ℓ,가솔린,준대형,세단,FR,7021,http://file.carisyou.com/upload/2023/12/27/FILE_202312270112559470.png,304.0
2024 벤츠 GLB,9.5 ~ 14.2km/ℓ,"가솔린,디젤",준중형,SUV,FF,7510,http://file.carisyou.com/upload/2023/12/22/FILE_202312220344117220.png,150.0
2024 아우디 RS3(4세대),9.2km/ℓ,가솔린,준중형,세단,4WD,7770,http://file.carisyou.com/upload/2023/07/27/FILE_202307270214142330.png,407.0
2024 아우디 Q3(2세대),9.9 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,5965,http://file.carisyou.com/upload/2022/06/02/FILE_202206021106043010.png,150.0
2024 아우디 RS7(2세대),7.3km/ℓ,가솔린,준대형,해치백,4WD,18180,http://file.carisyou.com/upload/2023/12/21/FILE_202312211026362540.png,630.0
2024 지프 랭글러(4세대),7.5 ~ 12.0km/ℓ,"가솔린,가솔린/하이브리드","준중형,중형",SUV,4WD,9990,http://file.carisyou.com/upload/2024/09/12/FILE_202409121114396850.png,272.0
2024 벤틀리 벤테이가,7.0km/ℓ,가솔린,대형,SUV,4WD,26350,http://file.carisyou.com/upload/2023/04/07/FILE_202304070315362050.png,550.0
2024 벤츠 EQE,3.6 ~ 4.6km/kwh,전기,중형,세단,2WD,1350,http://file.carisyou.com/upload/2022/09/30/FILE_202209300950595120.png,
2024 렉서스 LC,7.5 ~ 10.9km/ℓ,"가솔린,가솔린/하이브리드",중형,"컨버터블,쿠페외형전체>",FR,18170,http://file.carisyou.com/upload/2023/06/23/FILE_202306230133099050.png,477.0
2024 현대 뉴 투싼 하이브리드(NX4),14.3 ~ 16.2km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4161,http://file.carisyou.com/upload/2023/12/06/FILE_202312060230172670.png,180.0
2024 현대 뉴 투싼(NX4),11.2 ~ 14.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,4004,http://file.carisyou.com/upload/2023/12/06/FILE_202312060215369920.png,180.0
2024 아우디 Q5(2세대),10.2 ~ 13.0km/ℓ,"가솔린,디젤",중형,SUV,4WD,7979,http://file.carisyou.com/upload/2021/06/15/FILE_202106150459162330.png,265.0
2024 혼다 파일럿(4세대),8.4km/ℓ,가솔린,대형,SUV,4WD,6940,http://file.carisyou.com/upload/2023/08/29/FILE_202308291024431350.png,289.0
2024 토요타 RAV4(5세대),15.1 ~ 16.1km/ℓ,가솔린/하이브리드,준중형,SUV,FF,5659,http://file.carisyou.com/upload/2022/04/13/FILE_202204130202152340.png,178.0
2024 푸조 3008(2세대),12.2 ~ 15.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,4720,http://file.carisyou.com/upload/2024/07/18/FILE_202407181118127370.png,131.0
2024 BMW XM,10.0km/ℓ,가솔린/하이브리드,대형,SUV,4WD,22190,http://file.carisyou.com/upload/2023/03/28/FILE_202303281008288930.png,489.0
2024 랜드로버 레인지로버 이보크(2세대),8.9km/ℓ,가솔린,준중형,SUV,4WD,8030,http://file.carisyou.com/upload/2024/03/26/FILE_202403261110208410.png,249.0
2024 랜드로버 레인지로버 스포츠(3세대),7.1 ~ 10.4km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,SUV,4WD,14180,http://file.carisyou.com/upload/2024/01/30/FILE_202401300337217010.png,360.0
2024 포르쉐 파나메라(3세대),7.1 ~ 8.0km/ℓ,"가솔린,가솔린/하이브리드",대형,해치백,4WD,17670,http://file.carisyou.com/upload/2023/11/27/FILE_202311271017266300.png,310.0
2024 기아 봉고3 트럭,6.1 ~ 7.0km/ℓ,엘피지,소형,트럭,FR,4115,http://file.carisyou.com/upload/2021/12/28/FILE_202112281242281790.png,138.0
2024 현대 포터2,6.0 ~ 7.0km/ℓ,엘피지,소형,트럭,FR,4185,http://file.carisyou.com/upload/2018/09/19/FILE_201809191103077550.png,138.0
2025 볼보 EX30,4.8km/kwh,전기,소형,SUV,2WD,5183,http://file.carisyou.com/upload/2023/11/20/FILE_202311201005517060.png,
2024 벤츠 G클래스(2세대),5.6 ~ 8.2km/ℓ,"가솔린,디젤",중형,SUV,4WD,18020,https://file.carisyou.com/upload/2018/02/08/FILE_201802080440348980.png,330.0
2024 벤츠 GLS(3세대),6.0 ~ 10.4km/ℓ,"가솔린,디젤",대형,SUV,4WD,16020,http://file.carisyou.com/upload/2023/11/16/FILE_202311160452428280.png,367.0
2024 벤츠 A클래스(4세대),10.6 ~ 12.2km/ℓ,가솔린,준중형,"세단,해치백외형전체>",FF,6560,http://file.carisyou.com/upload/2023/11/15/FILE_202311150242357690.png,190.0
2024 랜드로버 레인지로버(5세대),7.8 ~ 10.1km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,SUV,4WD,22390,http://file.carisyou.com/upload/2021/11/29/FILE_202111290547572310.png,350.0
2024 벤츠 EQB,4.1km/kwh,전기,준중형,SUV,4WD,8200,http://file.carisyou.com/upload/2021/11/26/FILE_202111260435152130.png,
2024 기아 뉴 카니발 하이브리드(KA4),12.4 ~ 14.0km/ℓ,가솔린/하이브리드,대형,RV,FF,9650,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415167530.png,180.0
2024 기아 뉴 카니발(KA4),8.5 ~ 13.1km/ℓ,"가솔린,디젤",대형,RV,FF,9200,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415071560.png,294.0
2024 기아 뉴 레이,12.7 ~ 13.0km/ℓ,가솔린,경형,RV,FF,1865,http://file.carisyou.com/upload/2022/09/01/FILE_202209010954489680.png,76.0
2024 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,12920,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510.0
2024 BMW X3 M,7.7km/ℓ,가솔린,준중형,SUV,4WD,12350,http://file.carisyou.com/upload/2021/11/18/FILE_202111181128120390.png,510.0
2023 페라리 296 GTS,7.7km/ℓ,가솔린/하이브리드,준중형,컨버터블,MR,46100,http://file.carisyou.com/upload/2023/11/06/FILE_202311060918214880.png,664.0
2024 쉐보레 콜로라도(GMT31XX-2),8.1 ~ 8.9km/ℓ,가솔린,대형,픽업트럭,4WD,7279,http://file.carisyou.com/upload/2023/11/03/FILE_202311030451193510.png,314.0
2024 토요타 크라운,11.0 ~ 17.2km/ℓ,가솔린/하이브리드,준대형,세단,4WD,6640,http://file.carisyou.com/upload/2023/05/23/FILE_202305230342432280.png,186.0
2024 토요타 프리우스(5세대),19.4 ~ 20.9km/ℓ,가솔린/하이브리드,준중형,해치백,FF,4915,http://file.carisyou.com/upload/2023/11/08/FILE_202311080916526390.png,152.0
2024 볼보 V60 크로스 컨트리(2세대),10.4km/ℓ,가솔린,준중형,왜건,4WD,6260,http://file.carisyou.com/upload/2022/09/28/FILE_202209281043138290.png,250.0
2024 볼보 S90,10.2 ~ 11.9km/ℓ,"가솔린,가솔린/하이브리드",준대형,세단,FF,8647,http://file.carisyou.com/upload/2024/12/09/FILE_202412090949461200.png,250.0
2024 볼보 V90 크로스 컨트리,11.0km/ℓ,가솔린,중형,왜건,4WD,7820,http://file.carisyou.com/upload/2020/10/22/FILE_202010220952255650.png,250.0
2024 볼보 XC90(2세대),9.1 ~ 11.0km/ℓ,"가솔린,가솔린/하이브리드",준대형,SUV,4WD,1,http://file.carisyou.com/upload/2019/09/26/FILE_201909261013329930.png,300.0
2024 벤츠 GLC(3세대),8.3 ~ 14.1km/ℓ,"가솔린,디젤",준중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/06/16/FILE_202306161010404980.png,197.0
2024 벤츠 C클래스(5세대),11.1 ~ 11.9km/ℓ,가솔린,준중형,세단,FR,7500,http://file.carisyou.com/upload/2022/11/21/FILE_202211210924075450.png,204.0
2024 벤츠 EQA,4.9km/kwh,전기,준중형,SUV,2WD,7360,http://file.carisyou.com/upload/2021/06/24/FILE_202106241221324420.png,
2024 BMW M2(2세대),8.5km/ℓ,가솔린,준중형,쿠페,FR,9350,http://file.carisyou.com/upload/2023/07/05/FILE_202307050524409530.png,460.0
2024 링컨 노틸러스(2세대),9.0km/ℓ,가솔린,중형,SUV,4WD,7740,http://file.carisyou.com/upload/2023/11/01/FILE_202311011029012570.png,252.0
2024 폭스바겐 골프(8세대),11.5 ~ 17.8km/ℓ,"가솔린,디젤",준중형,해치백,FF,5230,http://file.carisyou.com/upload/2022/01/13/FILE_202201130131387030.png,245.0
2024 폴스타 폴스타 2,4.3 ~ 5.1km/kwh,전기,준중형,해치백,2WD,6090,http://file.carisyou.com/upload/2023/10/27/FILE_202310270121534570.png,
2024 기아 뉴 K5 하이브리드(DL3),18.8 ~ 19.8km/ℓ,가솔린/하이브리드,중형,세단,FF,3811,http://file.carisyou.com/upload/2024/01/16/FILE_202401160246451980.png,152.0
2024 기아 뉴 K5(DL3),9.5 ~ 13.7km/ℓ,"가솔린,엘피지",중형,세단,FF,3526,http://file.carisyou.com/upload/2024/01/16/FILE_202401160245434840.png,160.0
2023 지프 레니게이드,10.4km/ℓ,가솔린,소형,SUV,FF,4800,http://file.carisyou.com/upload/2022/06/10/FILE_202206100940268820.png,173.0
2024 BMW iX,3.4 ~ 3.7km/kwh,전기,중형,SUV,4WD,15200,http://file.carisyou.com/upload/2021/11/23/FILE_202111230454480600.png,
